abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4	-1	Cytosol	C06006		35632	
g3p	Glyceraldehyde 3-phosphate	C3H5O6P	-2	Cytosol	C00118	142-10-9	35637	
26dap-LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol	C00666	583-93-7	35647	
glucys	gamma-L-Glutamyl-L-cysteine	C8H13N2O5S	-1	Cytosol	C00669	686-58-8	35655	
g3pc	sn-Glycero-3-phosphocholine	C8H20NO6P	0	Cytosol, Extra-organism, Periplasm	C00670		35659	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol	C00671		35662	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	Cytosol	C00672		35664	
2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	-2	Cytosol	C00673	102916-66-5	35666	
5dh4dglc	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	-2	Cytosol	C00679		35679	
26dap-M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol, Extra-organism, Periplasm	C00680	None	35681	
mmcoa-S	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	Cytosol	C00683		35689	
dtdp4d6dg	dTDP-4-dehydro-6-deoxy-D-glucose	C16H22N2O15P2	-2	Cytosol	C00687		35701	
dtdp4d6dm	dTDP-4-dehydro-6-deoxy-L-mannose	C16H22N2O15P2	-2	Cytosol	C00688		35704	
tre6p	alpha,alpha'-Trehalose 6-phosphate	C12H21O14P	-2	Cytosol	C00689	4484-88-2	35708	
uamag	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	C28H39N5O23P2	-4	Cytosol	C00692		35714	
xtp	XTP	C10H11N4O15P3	-4	Cytosol	C00700		35735	
hg2	Hg2+	Hg	2	Cytosol, Extra-organism, Periplasm	C00703		35741	
o2s	Superoxide anion	O2	-1	Cytosol, Extra-organism, Periplasm	C00704		35743	
glyb	Glycine betaine	C5H11NO2	0	Cytosol, Extra-organism, Periplasm	C00719	107-43-7	35786	
ser-D	D-Serine	C3H7NO3	0	Cytosol, Extra-organism, Periplasm	C00740	312-84-5	35846	
sheme	Siroheme	C42H36FeN4O16	-8	Cytosol	C00748		35869	
glcr	D-Glucarate	C6H8O8	-2	Cytosol, Extra-organism, Periplasm	C00818	87-73-0	35926	
idon-L	L-Idonate	C6H11O7	-1	Cytosol, Extra-organism, Periplasm	C00770	1114-17-6	35934	
cys-D	D-Cysteine	C3H7NO2S	0	Cytosol, Extra-organism, Periplasm	C00793	921-01-7	36015	
sbt-D	D-Sorbitol	C6H14O6	0	Extra-organism, Periplasm	C00794	50-70-4	36018	
oxur	Oxalureate	C3H3N2O4	-1	Cytosol	C00802	585-05-7	36042	
altrn	D-Altronate	C6H11O7	-1	Cytosol	C00817		36098	
dtdpglu	dTDPglucose	C16H24N2O16P2	-2	Cytosol	C00842	2009-24-7	36175	
cbl1	Cob(I)alamin	C62H88CoN13O14P	-1	Cytosol, Extra-organism, Periplasm	C00853	18534-66-2	36205	
met-D	D-Methionine	C5H10NO2S	0	Cytosol, Extra-organism, Periplasm	C00855	348-67-4	36214	
dnad	Deamino-NAD+	C21H24N6O15P2	-2	Cytosol	C00857		36219	
histd	L-Histidinol	C6H12N3O	1	Cytosol	C00860	None	36226	
rml	L-Rhamnulose	C6H12O5	0	Cytosol	C00861		36228	
pnto-R	(R)-Pantothenate	C9H16NO5	-1	Cytosol, Extra-organism, Periplasm	C00864	79-83-4	36234	
b2coa	Crotonoyl-CoA	C25H36N7O17P3S	-4	Cytosol	C00877	102680-35-3	36265	
galct-D	D-Galactarate	C6H8O8	-2	Cytosol, Extra-organism, Periplasm	C00879	526-99-8	36273	
galctn-D	D-Galactonate	C6H11O7	-1	Cytosol, Extra-organism, Periplasm	C00880		36277	
dcyt	Deoxycytidine	C9H13N3O4	0	Cytosol, Extra-organism, Periplasm	C00881	951-77-9	36280	
dpcoa	Dephospho-CoA	C21H33N7O13P2S	-2	Cytosol	C00882		36283	
ichor	Isochorismate	C10H8O6	-2	Cytosol	C00885		36293	
n2o	Nitrous oxide	N2O	0	Cytosol, Extra-organism, Periplasm	C00887	10024-97-2	36299	
tartr-L	L-tartrate	C4H4O6	-2	Cytosol, Extra-organism, Periplasm	C00898	87-69-4	36331	
fruur	D-Fructuronate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C00905	669-90-9	36345	
dhpt	Dihydropteroate	C14H13N6O3	-1	Cytosol	C00921		36380	
ppbng	Porphobilinogen	C10H13N2O4	-1	Cytosol	C00931	487-90-1	36404	
lald-D	D-Lactaldehyde	C3H6O2	0	Cytosol	C00937	None	36414	
3dhq	3-Dehydroquinate	C7H9O6	-1	Cytosol	C00944		36436	
mercppyr	Mercaptopyruvate	C3H3O3S	-1	Cytosol	C00957		36476	
2dhp	2-Dehydropantoate	C6H9O4	-1	Cytosol	C00966		36502	
acser	O-Acetyl-L-serine	C5H9NO4	0	Cytosol, Extra-organism, Periplasm	C00979	66638-22-0	36530	
2pglyc	2-Phosphoglycolate	C2H2O6P	-3	Cytosol	C00988		36550	
alaala	D-Alanyl-D-alanine	C6H12N2O3	0	Cytosol, Extra-organism, Periplasm	C00993	923-16-0	36564	
pser-L	O-Phospho-L-serine	C3H6NO6P	-2	Cytosol, Extra-organism, Periplasm	C01005	407-41-0	36594	
rbflvrd	Reduced riboflavin	C17H22N4O6	0	Cytosol	C01007		36596	
fuc-L	L-Fucose	C6H12O5	0	Cytosol, Extra-organism, Periplasm	C01019	2438-80-4	36636	
hmbil	Hydroxymethylbilane	C40H38N4O17	-8	Cytosol	C01024	73023-76-4	36648	
n8aspmd	N8-Acetylspermidine	C9H23N3O	2	Cytosol	C01029	34450-15-2	36657	
dann	7,8-Diaminononanoate	C9H21N2O2	1	Cytosol	C01037		36673	
uamr	UDP-N-acetylmuramate	C20H28N3O19P2	-3	Cytosol	C01050		36702	
uppg3	Uroporphyrinogen III	C40H36N4O16	-8	Cytosol	C01051	1976-85-8	36704	
5dglcn	5-Dehydro-D-gluconate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C01062		36726	
pmcoa	Pimeloyl-CoA	C28H41N7O19P3S	-5	Cytosol	C01063		36728	
pppg9	Protoporphyrinogen IX	C34H38N4O4	-2	Cytosol	C01079		36764	
thmmp	Thiamin monophosphate	C12H16N4O4PS	-1	Cytosol	C01081	532-40-1	36768	
tre	Trehalose	C12H22O11	0	Cytosol, Extra-organism, Periplasm	C01083	99-20-7	36774	
8aonn	8-Amino-7-oxononanoate	C9H17NO3	0	Cytosol	C01092		36792	
sbt6p	D-Sorbitol 6-phosphate	C6H13O9P	-2	Cytosol	C01096	108392-12-7	36801	
fc1p	L-Fuculose 1-phosphate	C6H11O8P	-2	Cytosol	C01099	None	36805	
hisp	L-Histidinol phosphate	C6H11N3O4P	-1	Cytosol	C01100	25679-93-0	36807	
ru5p-L	L-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol	C01101		36809	
phom	O-Phospho-L-homoserine	C4H8NO6P	-2	Cytosol	C01102		36811	
orot5p	Orotidine 5'-phosphate	C10H10N2O11P	-3	Cytosol	C01103	2149-82-8	36813	
tmao	Trimethylamine N-oxide	C3H9NO	0	Cytosol, Extra-organism, Periplasm	C01104	1184-78-7	36816	
ara5p	D-Arabinose 5-phosphate	C5H9O8P	-2	Cytosol	C01112		36837	
suchms	O-Succinyl-L-homoserine	C8H12NO6	-1	Cytosol	C01118	1492-23-5	36847	
rml1p	L-Rhamnulose 1-phosphate	C6H11O8P	-2	Cytosol	C01131		36878	
acgal	N-Acetyl-D-galactosamine	C8H15NO6	0	Extra-organism, Periplasm	C01132	14215-68-0	36880	
pan4p	Pantetheine 4'-phosphate	C11H21N2O7PS	-2	Cytosol	C01134		36886	
ametam	S-Adenosylmethioninamine	C14H24N6O3S	2	Cytosol	C01137		36895	
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4	Cytosol	C01144		36912	
2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	-1	Cytosol	C01146		36915	
r15bp	D-Ribose 1,5-bisphosphate	C5H8O11P2	-4	Cytosol	C01151	None	36924	
glu5sa	L-Glutamate 5-semialdehyde	C5H9NO3	0	Cytosol	C01165	None	36962	
uacmam	UDP-N-acetyl-D-mannosamine	C17H25N3O17P2	-2	Cytosol	C01170		36973	
g6p	D-Glucose 6-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00092	56-73-5	36977	
34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H7O4	-1	Cytosol	C01179		37006	
nicrnt	Nicotinate D-ribonucleotide	C11H12NO9P	-2	Cytosol	C01185		37018	
kdo	3-Deoxy-D-manno-2-octulosonate	C8H13O8	-1	Cytosol	C01187		37028	
minohp	myo-Inositol hexakisphosphate	C6H6O24P6	-12	Extra-organism, Periplasm	C01204		37070	
uama	UDP-N-acetylmuramoyl-L-alanine	C23H33N4O20P2	-3	Cytosol	C01212		37088	
mmcoa-R	(R)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	Cytosol	C01213		37090	
2dh3dgal	2-Dehydro-3-deoxy-D-galactonate	C6H9O6	-1	Cytosol	C01216		37100	
gdpddman	GDP-4-dehydro-6-deoxy-D-mannose	C16H21N5O15P2	-2	Cytosol	C01222		37116	
g3pi	sn-Glycero-3-phospho-1-inositol	C9H18O11P	-1	Cytosol, Extra-organism, Periplasm	C01225		37125	
ppgpp	Guanosine 3',5'-bis(diphosphate)	C10H11N5O17P4	-6	Cytosol	C01228		37137	
g3pe	sn-Glycero-3-phosphoethanolamine	C5H14NO6P	0	Cytosol, Extra-organism, Periplasm	C01233		37147	
6pgl	6-phospho-D-glucono-1,5-lactone	C6H9O9P	-2	Cytosol	C01236	None	37157	
acg5sa	N-Acetyl-L-glutamate 5-semialdehyde	C7H10NO4	-1	Cytosol	C01250	None	37191	
imacp	3-(Imidazol-4-yl)-2-oxopropyl phosphate	C6H7N2O5P	-2	Cytosol	C01267		37231	
5apru	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H13N4O9P	-2	Cytosol	C01268		37234	
3psme	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H9O10P	-4	Cytosol	C01269		37236	
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C15H27N2O9PRS	-1	Cytosol	C01271		37241	
4ahmmp	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O	0	Cytosol	C01279	73-67-6	37263	
2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C6H8O9P	-3	Cytosol	C01286		37281	
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C12H13NO9P	-3	Cytosol	C01302		37317	
na1	Sodium	Na	1	Cytosol, Extra-organism, Periplasm	C01330	7440-23-5	37376	
xdp	XDP	C10H11N4O12P2	-3	Cytosol	C01337		37387	
didp	dIDP	C10H11N4O10P2	-3	Cytosol	C01344		37395	
ditp	dITP	C10H11N4O13P3	-4	Cytosol	C01345		37399	
dudp	dUDP	C9H11N2O11P2	-3	Cytosol	C01346		37403	
3ump	3'-UMP	C9H11N2O9P	-2	Extra-organism, Periplasm	C01368	35170-03-7	37447	
btal	Butanal	C4H8O	0	Cytosol	C01412	123-72-8	37538	
cynt	Cyanate	CNO	-1	Cytosol, Extra-organism, Periplasm	C01417	420-05-3	37550	
oxam	Oxamate	C2H2NO3	-1	Cytosol	C01444	471-47-6	37602	
aso4	arsenate	AsO4	-3	Cytosol	C01478	7778-39-4	37686	
all-D	D-Allose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C01487	2595-97-3	37710	
lyx-L	L-Lyxose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C01508	1949-78-6	37762	
seln	Selenide	HSe	-1	Cytosol	C01528	531-44-2	37794	
ocdca	octadecanoate (n-C18:0)	C18H35O2	-1	Cytosol, Extra-organism, Periplasm	C01530	57-11-4	37799	
alltn	Allantoin	C4H6N4O3	0	Cytosol, Extra-organism, Periplasm	C01551	97-59-6	37849	
dca	Decanoate (n-C10:0)	C10H19O2	-1	Cytosol, Extra-organism, Periplasm	C01571	334-48-5	37897	
gal-bD	beta D-Galactose	C6H12O6	0	Extra-organism, Periplasm	C01582	33419-42-0	37923	
hxa	Hexanoate (n-C6:0)	C6H11O2	-1	Cytosol, Extra-organism, Periplasm	C01585	142-62-1	37927	
orn	Ornithine	C5H13N2O2	1	Cytosol, Extra-organism, Periplasm	C01602	70-26-8	37976	
trnaarg	tRNA(Arg)	R	0	Cytosol	C01636		38054	
trnaasn	tRNA(Asn)	C10H17O10PR2	0	Cytosol	C01637		38056	
trnaasp	tRNA(Asp)	R	0	Cytosol	C01638		38058	
trnacys	tRNA(Cys)	R	0	Cytosol	C01639		38060	
trnagln	tRNA(Gln)	R	0	Cytosol	C01640		38062	
trnagly	tRNA(Gly)	R	0	Cytosol	C01642		38066	
trnahis	tRNA(His)	R	0	Cytosol	C01643		38068	
trnaile	tRNA(Ile)	R	0	Cytosol	C01644		38070	
trnaleu	tRNA(Leu)	R	0	Cytosol	C01645		38072	
trnalys	tRNA(Lys)	R	0	Cytosol	C01646		38074	
trnamet	tRNA(Met)	R	0	Cytosol	C01647		38076	
trnaphe	tRNA(Phe)	R	0	Cytosol	C01648		38078	
trnapro	tRNA(Pro)	R	0	Cytosol	C01649		38080	
trnaser	tRNA(Ser)	R	0	Cytosol	C01650		38082	
trnathr	tRNA(Thr)	R	0	Cytosol	C01651		38084	
trnatrp	tRNA(Trp)	R	0	Cytosol	C01652		38086	
trnaval	tRNA(Val)	R	0	Cytosol	C01653		38088	
15dap	1,5-Diaminopentane	C5H16N2	2	Cytosol, Extra-organism, Periplasm	C01672	462-94-2	38125	
galt	Galactitol	C6H14O6	0	Extra-organism, Periplasm	C01697	608-66-2	38183	
tcynt	Thiocyanate	CNS	-1	Cytosol, Extra-organism, Periplasm	C01755	463-56-9	38336	
xtsn	Xanthosine	C10H12N4O6	0	Cytosol, Extra-organism, Periplasm	C01762	146-80-5	38352	
ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	-4	Cytosol	C01832	6244-92-4	38504	
alpp	applipoprotein	X	0	Periplasm	C01834		38510	
malttr	Maltotriose	C18H32O16	0	Cytosol, Extra-organism, Periplasm	C01835	1109-28-0	38512	
aact	Aminoacetone	C3H8NO	1	Cytosol	C01888	298-08-8	38629	
dtbt	Dethiobiotin	C10H17N2O3	-1	Cytosol	C01909		38667	
malthx	Maltohexaose	C36H62O31	0	Cytosol, Extra-organism, Periplasm	C01936	34620-77-4	38732	
occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4	Cytosol	C01944		38747	
maltttr	Maltotetraose	C24H42O21	0	Cytosol, Extra-organism, Periplasm	C02052	34612-38-9	38985	
acmalt	Acetyl-maltose	C14H24O12	0	Cytosol	C02130		39162	
ppp9	Protoporphyrin	C34H32N4O4	-2	Cytosol	C02191	553-12-8	39293	
2mcit	2-Methylcitrate	C7H7O7	-3	Cytosol	C02225	96-17-3	39369	
cyst-L	L-Cystathionine	C7H14N2O4S	0	Cytosol	C02291	56-88-2	39523	
acon-T	trans-Aconitate	C6H3O6	-3	Cytosol	C02341	4023-65-8	39643	
23camp	2',3'-Cyclic AMP	C10H11N5O6P	-1	Extra-organism, Periplasm	C02353		39672	
23ccmp	2',3'-Cyclic CMP	C9H11N3O7P	-1	Extra-organism, Periplasm	C02354		39674	
23cump	2',3'-Cyclic UMP	C9H10N2O8P	-1	Extra-organism, Periplasm	C02355		39676	
dscl	dihydrosirohydrochlorin	C42H41N4O16	-7	Cytosol	C02463	65207-12-7	39875	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C02504		39972	
suc6p	Sucrose 6-phosphate	C12H21O14P	-2	Cytosol	C02591		40149	
tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4	Cytosol	C02593		40154	
2ippm	2-Isopropylmaleate	C7H8O4	-2	Cytosol	C02631		40241	
3dhsk	3-Dehydroshikimate	C7H7O5	-1	Cytosol	C02637		40260	
acglc-D	6-Acetyl-D-glucose	C8H14O7	0	Cytosol	C02655	107-85-7	40288	
ddca	Dodecanoate (n-C12:0)	C12H23O2	-1	Cytosol, Extra-organism, Periplasm	C02679	143-07-7	40351	
acmum	N-Acetylmuramate	C11H18NO8	-1	Extra-organism, Periplasm	C02713	61633-75-8	40415	
sucbz	o-Succinylbenzoate	C11H8O5	-2	Cytosol	C02730		40449	
prbatp	1-(5-Phosphoribosyl)-ATP	C15H19N5O20P4	-6	Cytosol	C02739		40470	
fldrd	flavodoxin (reduced)	XH2	0	Cytosol	C02745		40486	
fldox	flavodoxin (oxidized)	X	0	Cytosol	C02869		40728	
ppap	Propanoyl phosphate	C3H5O5P	-2	Cytosol	C02876		40738	
12ppd-R	(R)-Propane-1,2-diol	C3H8O2	0	Cytosol, Extra-organism, Periplasm	C02912	4254-14-2	40801	
12ppd-S	(S)-Propane-1,2-diol	C3H8O2	0	Cytosol, Extra-organism, Periplasm	C02917	4254-14-3	40815	
all6p	D-Allose 6-phosphate	C6H11O9P	-2	Cytosol	C02962	147-94-4	40909	
f1p	D-Fructose 1-phosphate	C6H11O9P	-2	Cytosol	C02976	15978-08-2	40936	
glyc2p	Glycerol 2-phosphate	C3H7O6P	-2	Extra-organism, Periplasm	C02979	3249-68-1	40942	
Nmtrp	N-Methyltryptophan	C12H14N2O2	0	Cytosol	C02983	526-31-8	40949	
glutrna	L-Glutamyl-tRNA(Glu)	C5H7NO3R	0	Cytosol	C02987	None	40960	
metsox-S-L	L-Methionine Sulfoxide	C5H11NO3S	0	Cytosol, Extra-organism, Periplasm	C02989		40964	
malt6p	Maltose 6'-phosphate	C12H21O14P	-2	Cytosol	C02995	None	40977	
4pasp	4-Phospho-L-aspartate	C4H6NO7P	-2	Cytosol	C03082		41164	
5mtr	5-Methylthio-D-ribose	C6H12O4S	0	Cytosol	C03089		41179	
pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1	Cytosol	C03090		41182	
dmbzid	5,6-Dimethylbenzimidazole	C9H10N2	0	Cytosol	C03114	582-60-5	41234	
sbzcoa	O-Succinylbenzoyl-CoA	C32H39N7O20P3S	-5	Cytosol	C03160		41314	
mmet	S-Methyl-L-methionine	C6H14NO2S	1	Cytosol, Extra-organism, Periplasm	C03172		41336	
skm5p	Shikimate 5-phosphate	C7H8O8P	-3	Cytosol	C03175		41343	
dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4	Cytosol	C03221		41433	
3php	3-Phosphohydroxypyruvate	C3H2O7P	-3	Cytosol	C03232		41453	
cpppg3	Coproporphyrinogen III	C36H40N4O8	-4	Cytosol	C03263	2624-63-7	41515	
g3pg	Glycerophosphoglycerol	C6H14O8P	-1	Cytosol, Extra-organism, Periplasm	C03274	11034-93-8	41538	
pppi	Inorganic triphosphate	HO10P3	-4	Cytosol	C03279		41547	
glu5p	L-Glutamate 5-phosphate	C5H8NO7P	-2	Cytosol	C03287		41564	
xu5p-L	L-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C03291	None	41573	
fmettrna	N-Formylmethionyl-tRNA	C6H9NO2SR	0	Cytosol	C03294		41579	
sucarg	N2-Succinyl-L-arginine	C10H17N4O5	-1	Cytosol	C03296	1758-80-1	41581	
dtdprmn	dTDP-L-rhamnose	C16H24N2O15P2	-2	Cytosol	C03319	572-96-3	41621	
23dhdp	2,3-Dihydrodipicolinate	C7H5NO4	-2	Cytosol	C03340		41662	
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	-2	Cytosol	C03373	25635-88-5	41727	
4per	4-Phospho-D-erythronate	C4H6O8P	-3	Cytosol	C03393		41765	
argsuc	N(omega)-(L-Arginino)succinate	C10H17N4O6	-1	Cytosol	C03406	None	41790	
sucorn	N2-Succinyl-L-ornithine	C9H15N2O5	-1	Cytosol	C03415	80102-04-1	41816	
lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	Cytosol	C03451	59-85-8	41876	
4ppan	D-4'-Phosphopantothenate	C9H15NO8P	-3	Cytosol	C03492		41952	
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	C11H12NO6P	-2	Cytosol	C03506		41982	
2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	Cytosol	C03508		41986	
rhcys	S-Ribosyl-L-homocysteine	C9H17NO6S	0	Cytosol	C03539	37558-16-0	42044	
udcpdp	Undecaprenyl diphosphate	C55H89O7P2	-3	Cytosol, Periplasm	C03543		42055	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	-1	Cytosol	C03589	111844-33-8	42143	
dhna	1,4-Dihydroxy-2-naphthoate	C11H7O4	-1	Cytosol	C03657		42264	
quln	Quinolinate	C7H3NO4	-2	Cytosol	C03722	89-00-9	42393	
udpgalfur	UDP-D-galacto-1,4-furanose	C15H22N2O17P2	-2	Cytosol	C03733	638-23-3	42414	
r5p	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	Cytosol, Extra-organism, Periplasm	C00117	4300-28-1	42420	
glu1sa	L-Glutamate 1-semialdehyde	C5H9NO3	0	Cytosol	C03741	None	42432	
dopa	Dopamine	C8H12NO2	1	Extra-organism, Periplasm	C03758	51-61-6	42467	
4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0	Extra-organism, Periplasm	C03765	60-11-7	42489	
dcamp	N6-(1,2-Dicarboxyethyl)-AMP	C14H14N5O11P	-4	Cytosol	C03794		42544	
man1p	D-Mannose 1-phosphate	C6H11O9P	-2	Cytosol	C03812		42578	
gar	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	-1	Cytosol	C03838		42621	
prbamp	1-(5-Phosphoribosyl)-AMP	C15H19N5O14P2	-4	Cytosol	C02741		42711	
pgp140	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)	C34H65O13P2	-3	Cytosol, Periplasm	C03892		42727	
1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	Cytosol	C03912		42766	
thdp	2,3,4,5-Tetrahydrodipicolinate	C7H7NO4	-2	Cytosol	C03972		42888	
34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	0	Extra-organism, Periplasm	C04043		43022	
dhpppn	3-(2,3-Dihydroxyphenyl)propanoate	C9H9O4	-1	Cytosol	C04044		43025	
ap5a	P1,P5-Bis(5'-adenosyl) pentaphosphate	C20H24N10O22P5	-5	Cytosol	C04058	4637-56-3	43056	
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	Cytosol	C06007		43150	
ctbt	crotonobetaine	C7H13NO2	0	Cytosol, Periplasm	C04114	6666-46-2	43172	
acg5p	N-Acetyl-L-glutamyl 5-phosphate	C7H9NO8P	-3	Cytosol	C04133		43209	
octdp	all-trans-Octaprenyl diphosphate	C40H65O7P2	-3	Cytosol	C04146		43243	
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H7O4	-1	Cytosol	C04171		43290	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2	Cytosol	C04188		43318	
2mcacn	cis-2-Methylaconitate	C7H5O6	-3	Cytosol	C04225	99-98-9	43396	
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	-2	Cytosol	C04236		43420	
but2eACP	But-2-enoyl-[acyl-carrier protein]	C15H25N2O8PRS	-1	Cytosol	C04246	128-33-6	43437	
acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P	-2	Cytosol, Extra-organism, Periplasm	C04256	None	43457	
acmanap	N-Acetyl-D-mannosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C04257	157296-99-6	43459	
dtdp4addg	dTDP-4-amino-4,6-dideoxy-D-galactose	C16H26N3O14P2	-1	Cytosol	C04268		43484	
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	Cytosol	C04272		43492	
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS	0	Cytosol	C04294	137-00-8	43535	
pran	N-(5-Phospho-D-ribosyl)anthranilate	C12H13NO9P	-3	Cytosol	C04302	None	43555	
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H8NO4PS	-2	Cytosol	C04327		43602	
dmlz	6,7-Dimethyl-8-(1-D-ribityl)lumazine	C13H18N4O6	0	Cytosol	C04332		43611	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS	-3	Cytosol	C04352		43650	
fgam	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	C8H13N2O9P	-2	Cytosol	C04376		43690	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C04411		43761	
sl26da	N-Succinyl-LL-2,6-diaminoheptanedioate	C11H16N2O7	-2	Cytosol	C04421		43785	
amob	S-Adenosyl-4-methylthio-2-oxobutanoate	C15H19N5O6S	0	Cytosol	C04425		43797	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P	-3	Cytosol	C04442		43826	
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	C9H15N4O9P	-2	Cytosol	C04454		43851	
sl2a6o	N-Succinyl-2-L-amino-6-oxoheptanedioate	C11H12NO8	-3	Cytosol	C04462		43864	
kdo8p	3-Deoxy-D-manno-octulosonate 8-phosphate	C8H12O11P	-3	Cytosol	C04478		43894	
hkndd	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	C9H8O6	-2	Cytosol	C04479	53-42-9	43897	
gdptp	Guanosine 3'-diphosphate 5'-triphosphate	C10H11N5O20P5	-7	Cytosol	C04494		43927	
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H8N3O4P	-2	Cytosol	C04556		44041	
5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	C6H11O7PS	-2	Cytosol	C04582		44103	
micit	methylisocitrate	C7H7O7	-3	Cytosol	C04593	20298-95-7	44122	
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	-1	Cytosol	C04619	320-77-4	44184	
uaccg	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	C20H26N3O19P2	-3	Cytosol	C04631		44212	
fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H15N3O8P	-1	Cytosol	C04640		44236	
u23ga	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	C43H75N3O20P2	-2	Cytosol	C04652		44263	
eig3p	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C6H9N2O6P	-2	Cytosol	C04666		44288	
aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H13N4O8P	-2	Cytosol	C04677	3031-94-5	44312	
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H10O10P	-3	Cytosol	C04691		44349	
4r5au	4-(1-D-Ribitylamino)-5-aminouracil	C9H16N4O6	0	Cytosol	C04732		44429	
fprica	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C10H13N4O9P	-2	Cytosol	C04734		44434	
u3aga	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	C31H51N3O19P2	-2	Cytosol	C04738		44447	
